Q6GZX4 001R_FRG3G
Q6GZP7 078L_FRG3G
Q6GZP6 079R_FRG3G
Q196Y0 080R_IIV3
Q196X9 081L_IIV3
Q6GZP4 081R_FRG3G
Q196X8 082L_IIV3
O55713 082L_IIV6
O55714 083L_IIV6
O55715 084L_IIV6
Q6GZP1 084R_FRG3G
Q6GZT2 086L_FRG3G
Q6GZN8 087L_FRG3G
Q6GZN7 088R_FRG3G
Q196X1 089L_IIV3
Q6GZN6 089R_FRG3G
Q6GZN3 092R_FRG3G
Q196W8 092R_IIV3
Q6GZN2 093L_FRG3G
Q6GZN1 094L_FRG3G
O55717 094L_IIV6
Q196W5 095L_IIV3
O55718 095L_IIV6
Q6GZN0 095R_FRG3G
O55719 096L_IIV6
Q6GZM9 096R_FRG3G
Q6GZM8 097R_FRG3G
Q6GZM7 098R_FRG3G
P0C9F0 1001R_ASFK5
P0C9F1 1001R_ASFM2
P0C9F2 1001R_ASFP4
P0C9E9 1001R_ASFWA
Q65209 1002L_ASFB7
P0C9F4 1002L_ASFK5
P0C9F5 1002L_ASFM2
P0C9F6 1002L_ASFP4
P0C9F3 1002L_ASFWA
Q65210 1003L_ASFB7
P0C9F8 1003L_ASFK5
P0C9F9 1003L_ASFM2
P0C9G0 1003L_ASFP4
P0C9F7 1003L_ASFWA
O55722 101L_IIV6
Q196V8 102R_IIV3
Q196V7 103L_IIV3
Q4U9M9 104K_THEAN
P15711 104K_THEPA
O55723 104L_IIV6
A9CBA2 105R_ADES1
O55724 106L_IIV6
O55725 107L_IIV6
Q196V2 108L_IIV3
Q43495 108_SOLLC
Q6V4H0 10HGO_CATRO
P0C9J4 11011_ASFK5
P0C9J5 11011_ASFM2
P0C9J6 11011_ASFP4
P0C9J2 11011_ASFWA
P0C9J8 11012_ASFK5
P0C9J9 11012_ASFM2
P0C9K1 11013_ASFM2
P0C9K0 11013_ASFWA
P0C9K2 11014_ASFK5
P0C9K3 11014_ASFM2
P0C9J7 1101B_ASFP4
P0C9J3 1101B_ASFWA
P18560 1101L_ASFB7
P0C9G2 1101L_ASFK5
P0C9G3 1101L_ASFM2
P0C9G4 1101L_ASFP4
P0C9G1 1101L_ASFWA
P18559 1102L_ASFB7
P0C9G6 1102L_ASFK5
P0C9G7 1102L_ASFM2
P0C9G8 1102L_ASFP4
P0C9G5 1102L_ASFWA
P0C9G9 1103L_ASFK5
P18558 1104L_ASFB7
P0C9H1 1104L_ASFK5
P0C9H2 1104L_ASFM2
P0C9H3 1104L_ASFP4
P0C9H0 1104L_ASFWA
P18557 1105L_ASFB7
P0C9H5 1105L_ASFM2
P0C9H6 1105L_ASFP4
P0C9H4 1105L_ASFWA
P68744 1106L_ASFB7
P0C9H8 1106L_ASFK5
P0C9H9 1106L_ASFM2
P0C9I0 1106L_ASFP4
P0C9H7 1106L_ASFWA
P0C9I2 1107L_ASFK5
P0C9I3 1107L_ASFM2
P0C9I4 1107L_ASFP4
P0C9I1 1107L_ASFWA
P0C9I6 1108L_ASFK5
P0C9I7 1108L_ASFM2
P0C9I8 1108L_ASFP4
P0C9I5 1108L_ASFWA
P0C9J0 1109L_ASFK5
P0C9J1 1109L_ASFP4
P0C9I9 1109L_ASFWA
P13813 110KD_PLAKN
Q196V0 110R_IIV3
O55726 110R_IIV6
O55727 111R_IIV6
O55728 113L_IIV6
Q196U6 114L_IIV3
O55731 116L_IIV6
Q196U4 116R_IIV3
Q196U3 117L_IIV3
Q196U2 118R_IIV3
Q196U1 119R_IIV3
P0DJZ0 11K_PAVHV
B5KVH4 11S1_CARIL
C0HLM8 11S1_ELAGV
C0HLM9 11S2_ELAGV
Q9XHP0 11S2_SESIN
P19084 11S3_HELAN
P13744 11SB_CUCMA
O55734 120L_IIV6
O55735 121R_IIV6
Q196T8 122R_IIV3
O55736 122R_IIV6
Q196T7 123L_IIV3
O55737 123R_IIV6
Q196T6 124R_IIV3
Q196T5 125R_IIV3
Q196T4 126R_IIV3
O55738 126R_IIV6
O55739 127L_IIV6
P32234 128UP_DROME
P21215 12AH_CLOS4
Q05349 12KD_FRAAN
P80438 12KD_MYCSM
Q92AT0 12OLP_LISIN
Q8GBW6 12S_PROFR
O55740 130R_IIV6
O55741 132L_IIV6
Q91G04 135R_IIV6
O55743 137R_IIV6
O55744 138R_IIV6
O55745 139L_IIV6
P83011 13KDA_SCYCA
P83010 13KDA_TRISC
O23878 13S1_FAGES
O23880 13S2_FAGES
Q9XFM4 13S3_FAGES
P83004 13SB_FAGES
O55746 140L_IIV6
P81928 140U_DROME
O55747 141R_IIV6
P48347 14310_ARATH
P93207 14310_SOLLC
Q9S9Z8 14311_ARATH
Q9C5W6 14312_ARATH
P42643 14331_ARATH
P41932 14331_CAEEL
Q9U408 14331_ECHGR
Q24902 14331_ECHMU
P42648 14331_ENTHI
P49106 14331_MAIZE
Q84J55 14331_ORYSJ
P85938 14331_PSEMZ
Q26540 14331_SCHMA
P93206 14331_SOLLC
Q41418 14331_SOLTU
Q01525 14332_ARATH
Q20655 14332_CAEEL
Q8MUA4 14332_ECHGR
Q8MM75 14332_ECHMU
P42649 14332_ENTHI
Q01526 14332_MAIZE
Q7XTE8 14332_ORYSJ
P85939 14332_PSEMZ
Q26537 14332_SCHMA
P93208 14332_SOLLC
Q43643 14332_SOLTU
P42644 14333_ARATH
P42650 14333_ENTHI
Q6ZKC0 14333_ORYSJ
P85941 14333_PSEMZ
P93209 14333_SOLLC
P46077 14334_ARATH
Q2R2W2 14334_ORYSJ
P85942 14334_PSEMZ
P42652 14334_SOLLC
P42645 14335_ARATH
Q6EUP4 14335_ORYSJ
P93210 14335_SOLLC
P93784 14335_SOLTU
P48349 14336_ARATH
Q06967 14336_ORYSJ
P93211 14336_SOLLC
Q96300 14337_ARATH
Q5QNB8 14337_ORYSJ
P93212 14337_SOLLC
P48348 14338_ARATH
Q2R1D5 14338_ORYSJ
P93213 14338_SOLLC
Q96299 14339_ARATH
P93214 14339_SOLLC
P29305 1433A_HORVU
Q96450 1433A_SOYBN
P93342 1433A_TOBAC
P42653 1433A_VICFA
P68250 1433B_BOVIN
Q5ZLQ6 1433B_CHICK
Q43470 1433B_HORVU
P31946 1433B_HUMAN
Q4R572 1433B_MACFA
Q9CQV8 1433B_MOUSE
A4K2U9 1433B_PONAB
P35213 1433B_RAT
P68251 1433B_SHEEP
Q96451 1433B_SOYBN
O49995 1433B_TOBAC
P42654 1433B_VICFA
Q5XGC8 1433B_XENTR
Q96452 1433C_SOYBN
P93343 1433C_TOBAC
Q96453 1433D_SOYBN
O49996 1433D_TOBAC
P62261 1433E_BOVIN
Q5ZMT0 1433E_CHICK
P92177 1433E_DROME
P62258 1433E_HUMAN
P62259 1433E_MOUSE
P62260 1433E_RAT
P62262 1433E_SHEEP
O49997 1433E_TOBAC
P68509 1433F_BOVIN
Q04917 1433F_HUMAN
P68510 1433F_MOUSE
P68511 1433F_RAT
O49998 1433F_TOBAC
P68252 1433G_BOVIN
Q5F3W6 1433G_CHICK
P61981 1433G_HUMAN
P61982 1433G_MOUSE
Q5RC20 1433G_PONAB
P61983 1433G_RAT
P68253 1433G_SHEEP
Q0VC36 1433S_BOVIN
P31947 1433S_HUMAN
O70456 1433S_MOUSE
O77642 1433S_SHEEP
Q3SZI4 1433T_BOVIN
Q5ZMD1 1433T_CHICK
P27348 1433T_HUMAN
P68254 1433T_MOUSE
Q5RFJ2 1433T_PONAB
Q6Q6X0 1433T_RABIT
P68255 1433T_RAT
Q52M98 1433T_XENLA
P29306 1433X_MAIZE
Q1HR36 1433Z_AEDAE
Q2F637 1433Z_BOMMO
P63103 1433Z_BOVIN
Q5ZKC9 1433Z_CHICK
P29310 1433Z_DROME
P63104 1433Z_HUMAN
P63101 1433Z_MOUSE
Q5R651 1433Z_PONAB
P63102 1433Z_RAT
P29361 1433Z_SHEEP
Q91896 1433Z_XENLA
Q6P4Z5 1433Z_XENTR
O42766 1433_CANAL
P52908 1433_CHLRE
P54632 1433_DICDI
O96436 1433_EIMTE
Q8SW28 1433_ENCCU
Q39757 1433_FUCVE
O65352 1433_HELAN
Q9SP07 1433_LILLO
P93259 1433_MESCR
Q25538 1433_NEOCA
P29307 1433_OENEH
P46266 1433_PEA
P84972 1433_POPEU
P29308 1433_SPIOL
Q41246 1433_TOBAC
Q99002 1433_TRIHA
P29309 1433_XENLA
Q6UFZ9 143B1_ONCMY
Q6UFZ8 143B2_ONCMY
Q5PRD0 143BA_DANRE
Q5XHK2 143BA_XENLA
Q7T356 143BB_DANRE
Q8AVQ3 143BB_XENLA
Q6PC29 143G1_DANRE
Q6UFZ3 143G1_ONCMY
Q6UFZ2 143G2_ONCMY
Q6PCG0 143GA_XENLA
Q6NRY9 143GB_XENLA
O55751 146R_IIV6
O55752 148R_IIV6
O55753 149L_IIV6
P14009 14KD_DAUCA
P0A5B8 14KD_MYCBO
P16536 14KD_RHOSH
B2SAT5 14KL_BRUA1
Q2YKY9 14KL_BRUA2
P0C8N0 14KL_BRUAB
A9MC22 14KL_BRUC2
Q7CNS4 14KL_BRUME
A5VV34 14KL_BRUO2
A9WZ33 14KL_BRUSI
Q8FVU0 14KL_BRUSU
A6X5T5 14KL_OCHA4
O55755 156R_IIV6
O55757 159L_IIV6
O55758 160L_IIV6
O55760 162R_IIV6
O55761 165R_IIV6
O55762 169L_IIV6
Q80HU0 169_VACCW
E7CY70 16ABF_BIFLN
Q06JG5 16D10_MELAR
Q06JG4 16D10_MELHA
Q6YKB1 16D10_MELIC
Q06JG6 16D10_MELJA
O55764 172L_IIV6
O55765 175R_IIV6
P50927 17KD_RICAM
P50928 17KD_RICAU
Q84I68 17KD_RICBE
Q1RGK9 17KD_RICBR
P29697 17KD_RICCA
P0A3N4 17KD_RICCN
Q9F9F2 17KD_RICFE
Q52764 17KD_RICJY
P50929 17KD_RICMO
P50930 17KD_RICPA
P16624 17KD_RICPR
P50931 17KD_RICRH
P0A3N5 17KD_RICRI
Q7PA29 17KD_RICS2
P22882 17KD_RICTY
P16909 18C_DROME
P46729 18K1_MYCAV
P46730 18K1_MYCIT
P46731 18K2_MYCAV
P46732 18K2_MYCIT
P12809 18KD_MYCLE
O55769 192R_IIV6
P05080 194K_TRVSY
O55771 195L_IIV6
P30375 1A01_GORGO
P16209 1A01_PANTR
P16211 1A01_PONPY
P30515 1A01_SAGOE
P30376 1A02_GORGO
P16210 1A02_PANTR
P30377 1A03_GORGO
P13748 1A03_PANTR
P30378 1A04_GORGO
P13749 1A04_PANTR
Q9LQ10 1A110_ARATH
Q9S9U6 1A111_ARATH
Q8GYY0 1A112_ARATH
Q06429 1A11_ARATH
P23599 1A11_CUCMA
P23279 1A11_CUCPE
A2XLL2 1A11_ORYSI
Q10DK7 1A11_ORYSJ
Q9MB95 1A11_PRUMU
Q06402 1A12_ARATH
Q00257 1A12_CUCMA
Q00379 1A12_CUCPE
P18485 1A12_SOLLC
Q42881 1A13_SOLLC
Q43309 1A14_ARATH
P29535 1A14_SOLLC
Q37001 1A15_ARATH
Q9SAR0 1A16_ARATH
Q9STR4 1A17_ARATH
Q9T065 1A18_ARATH
Q9M2Y8 1A19_ARATH
P27486 1A1C_DIACA
P37821 1A1C_MALDO
P31531 1A1C_SOYBN
Q07262 1A1C_TOBAC
Q01912 1A1C_VIGRR
A1TVP2 1A1D_ACIAC
B9MGI8 1A1D_ACIET
B9JJB7 1A1D_AGRRK
B9K206 1A1D_AGRVS
Q89XR6 1A1D_BRADU
A5EJ46 1A1D_BRASB
A4YUJ5 1A1D_BRASO
B1YYR8 1A1D_BURA4
Q1BL32 1A1D_BURCA
B1K774 1A1D_BURCC
A0AXI7 1A1D_BURCH
B4EJA6 1A1D_BURCJ
Q0B569 1A1D_BURCM
Q390Z5 1A1D_BURL3
A9AQJ3 1A1D_BURM1
A3ME84 1A1D_BURM7
A2RWH4 1A1D_BURM9
Q62CE3 1A1D_BURMA
A1UVN3 1A1D_BURMS
A3P669 1A1D_BURP0
Q3JLQ0 1A1D_BURP1
A3NKK4 1A1D_BURP6
Q63KN7 1A1D_BURPS
Q2T6A1 1A1D_BURTA
A4JKV8 1A1D_BURVG
Q5KMX3 1A1D_CRYNJ
Q0K1H0 1A1D_CUPNH
Q7M523 1A1D_CYBSA
Q9ZHW3 1A1D_ENTCL
B8IP05 1A1D_METNO
A2SLW2 1A1D_METPP
B0UGM0 1A1D_METS4
B2TBV3 1A1D_PARPJ
Q13ME5 1A1D_PARXL
Q48KS9 1A1D_PSE14
Q51813 1A1D_PSEFL
Q5PWZ8 1A1D_PSEPU
P30297 1A1D_PSES0
Q87YW7 1A1D_PSESM
Q4ZVH4 1A1D_PSEU2
Q00740 1A1D_PSEUD
Q9V2L2 1A1D_PYRAB
Q8U4R3 1A1D_PYRFU
O57809 1A1D_PYRHO
B2UGM5 1A1D_RALPJ
Q8XS35 1A1D_RALSO
Q98AM7 1A1D_RHILO
Q93AG0 1A1D_RHILV
Q9AHF0 1A1D_RHIRD
Q9URX3 1A1D_SCHPO
Q9WY68 1A1D_THEMA
Q6J256 1A1D_VARPD
C5CQC9 1A1D_VARPS
Q5E9H2 1A1L1_BOVIN
Q96QU6 1A1L1_HUMAN
A2AIG8 1A1L1_MOUSE
Q9W698 1A1L1_TAKRU
Q4AC99 1A1L2_HUMAN
Q3UX83 1A1L2_MOUSE
Q96355 1AP1_BRAOT
P0DJY0 1ATF_PRRSS
P03589 1A_AMVLE
Q00020 1A_BBMV
P03588 1A_BMV
P27752 1A_CCMV
P17769 1A_CMVFN
Q83270 1A_CMVII
Q66121 1A_CMVIX
O40976 1A_CMVNT
P20122 1A_CMVO
P06011 1A_CMVQ
Q83264 1A_CMVY
Q83943 1A_OLV2I
P28726 1A_PSVJ
Q9DUT3 1A_PZSVT
P28931 1A_TAV
P89680 1A_TOBSV
P30379 1B01_GORGO
P13750 1B01_PANTR
P30516 1B01_SAGOE
P30380 1B02_GORGO
P13751 1B02_PANTR
P30381 1B03_GORGO
P30382 1B04_GORGO
P30383 1C01_GORGO
P30686 1C01_PANTR
P30517 1C01_SAGOE
P30385 1C02_GORGO
P30386 1C03_GORGO
P30387 1C04_GORGO
P16215 1C28_PANTR
O17433 1CPX_DIRIM
P52570 1CPX_ONCVO
Q84PN8 1FEH1_WHEAT
Q84LA1 1FEH2_WHEAT
B6DZC8 1FEH3_WHEAT
B6DZD1 1FEH_AEGSP
B6DZD2 1FEH_AEGTA
D2IGW7 1FEH_BROPI
Q70AT7 1FEH_HORVU
B6DXP5 1FEH_LEYCH
B6DZD0 1FEH_TRIUA
O23507 1MMP_ARATH
P30388 1OKO_GORGO
P0DMQ7 2003A_MYCTU
Q91FX0 200R_IIV6
Q91FW4 206L_IIV6
Q8MIS5 209L2_MACMU
Q8QZQ9 209R_IIV6
Q91FW0 211L_IIV6
Q91FV9 212L_IIV6
Q91FV5 216R_IIV6
Q91FV3 218R_IIV6
P17407 21KD_DAUCA
P15256 21KD_ZYMMA
Q91FV0 221L_IIV6
Q91FU6 226R_IIV6
Q91FU5 227L_IIV6
Q91FU4 228L_IIV6
A9CB93 22K_ADES1
P22282 22P1_RAT
P22283 22P2_RAT
Q91FT8 234R_IIV6
Q91FT7 235L_IIV6
Q91FT6 236L_IIV6
Q91FT4 238R_IIV6
P80166 23KD_GEOSE
Q91FT2 240R_IIV6
Q91FT1 241L_IIV6
Q91FT0 242L_IIV6
Q91FS6 246L_IIV6
Q91FS5 247L_IIV6
Q91FS3 249R_IIV6
P14592 24KD_PLACH
Q91FS2 250L_IIV6
Q91FR9 253L_IIV6
Q91FR8 254L_IIV6
Q91FR7 255L_IIV6
Q6STM1 25DK1_PSEPU
M5AWY0 25DK2_PSEPU
P23170 25KD_SARPE
Q8QZQ8 261R_IIV6
P83072 26KD_BACCE
Q91FQ1 272L_IIV6
Q91FQ0 273R_IIV6
Q91FP0 284R_IIV6
Q91FN9 285L_IIV6
Q91FN7 287R_IIV6
Q91FN5 289L_IIV6
P19361 28KD_MYCLE
P33405 28KD_TRIFO
Q91FN1 293R_IIV6
P84001 29C0_ANCSP
O18178 2A51_CAEEL
O04375 2A5A_ARATH
Q15172 2A5A_HUMAN
Q6PD03 2A5A_MOUSE
O04376 2A5B_ARATH
Q15173 2A5B_HUMAN
Q6PD28 2A5B_MOUSE
Q28647 2A5B_RABIT
Q80W83 2A5B_RAT
Q9ZQY6 2A5D_ARATH
Q14738 2A5D_HUMAN
Q28653 2A5D_RABIT
P38903 2A5D_YEAST
Q9SV41 2A5E_ARATH
A4FV68 2A5E_BOVIN
Q16537 2A5E_HUMAN
Q61151 2A5E_MOUSE
Q28654 2A5E_RABIT
Q8RW96 2A5G_ARATH
Q13362 2A5G_HUMAN
Q60996 2A5G_MOUSE
Q28651 2A5G_RABIT
Q93YV6 2A5K_ARATH
Q6I621 2A5K_ORYSJ
Q9LU89 2A5N_ARATH
Q8LF36 2A5T_ARATH
Q9LVE2 2A5Z_ARATH
Q38845 2AAA_ARATH
Q32PI5 2AAA_BOVIN
Q09543 2AAA_CAEEL
Q54QR9 2AAA_DICDI
P36179 2AAA_DROME
P30153 2AAA_HUMAN
Q76MZ3 2AAA_MOUSE
P36875 2AAA_PEA
P54612 2AAA_PIG
Q9UT08 2AAA_SCHPO
P31383 2AAA_YEAST
Q38950 2AAB_ARATH
P30154 2AAB_HUMAN
Q7TNP2 2AAB_MOUSE
P54613 2AAB_PIG
Q4QQT4 2AAB_RAT
Q38951 2AAG_ARATH
G5EDR3 2AB1_CAEEL
Q9XGR4 2AB2A_ARATH
Q5QIT3 2AB2B_ARATH
Q8VZQ4 2AB2C_ARATH
Q9SLI8 2AB2D_ARATH
Q84JI6 2AB2E_ARATH
Q38821 2ABA_ARATH
P53031 2ABA_CANTR
P36872 2ABA_DROME
P63151 2ABA_HUMAN
Q4R7Z4 2ABA_MACFA
Q6P1F6 2ABA_MOUSE
Q5Z8Z7 2ABA_ORYSJ
Q29090 2ABA_PIG
P63150 2ABA_RABIT
P36876 2ABA_RAT
Q12702 2ABA_SCHPO
Q00362 2ABA_YEAST
Q39247 2ABB_ARATH
Q5E9Q7 2ABB_BOVIN
B6VA23 2ABB_CARAU
Q00005 2ABB_HUMAN
Q4R8L3 2ABB_MACFA
Q6ZWR4 2ABB_MOUSE
A2X2K3 2ABB_ORYSI
Q0E2P1 2ABB_ORYSJ
P54614 2ABB_PIG
Q5R4A2 2ABB_PONAB
Q00006 2ABB_RABIT
P36877 2ABB_RAT
A1L3L9 2ABB_XENLA
Q0D2F4 2ABB_XENTR
Q5ZIY5 2ABD_CHICK
Q6NY64 2ABD_DANRE
Q66LE6 2ABD_HUMAN
Q925E7 2ABD_MOUSE
P56932 2ABD_RAT
Q7ZX64 2ABD_XENLA
Q6DIY3 2ABD_XENTR
Q9Y2T4 2ABG_HUMAN
Q95LP0 2ABG_MACFA
Q8BG02 2ABG_MOUSE
P50410 2ABG_RABIT
P97888 2ABG_RAT
Q10428 2AD1_SCHPO
P78759 2AD2_SCHPO
P81593 2AMD_PSEOL
Q96356 2AP1_BRAOT
P0C783 2B_CMVFN
Q66125 2B_CMVQ
P14850 2B_PEBV
Q8UYT3 2B_TAV
P89679 2B_TOBSV
P05078 2B_TRVTC
P11887 2ENR_CLOTY
Q5FTU6 2KGR_GLUOX
O04529 2MMP_ARATH
P47177 2NDP_YEAST
Q12723 2NPD_CYBMR
Q01284 2NPD_NEUCR
D3DJ41 2OCL_HYDTT
D3DJ42 2OCS_HYDTT
P48391 2PS_GERHY
P15457 2SS1_ARATH
P04403 2SS1_BEREX
P01091 2SS1_BRANA
P84782 2SS1_BRAOA
P84529 2SS1_BRARC
P80351 2SS1_CAPMA
Q9XHP1 2SS1_SESIN
P15458 2SS2_ARATH
P0C8Y8 2SS2_BEREX
P01090 2SS2_BRANA
P30233 2SS2_CAPMA
P15459 2SS3_ARATH
P80208 2SS3_BRANA
P80352 2SS3_CAPMA
P15460 2SS4_ARATH
P17333 2SS4_BRANA
P80353 2SS4_CAPMA
Q9FH31 2SS5_ARATH
P15461 2SS5_HELAN
P23110 2SS8_HELAN
P27740 2SSB_BRANA
P09893 2SSE_BRANA
P24565 2SSI_BRANA
P26986 2SSL_PICGL
B3EWN4 2SSL_RICCO
Q39649 2SS_CUCMA
P84576 2SS_CUCMO
Q2PS07 2SS_FAGES
P17718 2SS_MATST
P01089 2SS_RICCO
P19594 2SS_SOYBN
P86783 2SS_TAROF
Q89705 3001L_ASFB7
P0C9K5 3001L_ASFK5
P0C9K6 3001L_ASFM2
P0C9K7 3001L_ASFP4
P0C9K4 3001L_ASFWA
Q89554 3002R_ASFB7
P0C9K9 3002R_ASFK5
P0C9L0 3002R_ASFM2
P0C9L1 3002R_ASFP4
P0C9K8 3002R_ASFWA
P0C9L3 3003L_ASFM2
A0A097SRX3 3004L_ASFB7
P0C9L6 3004L_ASFM2
Q91FM4 300R_IIV6
Q91FM3 301L_IIV6
Q91FL6 308L_IIV6
V5QRX7 3098A_MYCTU
V5QPS4 3098B_MYCTU
Q91FL2 312R_IIV6
Q91FL1 313L_IIV6
Q91FK9 315L_IIV6
Q91FK7 317L_IIV6
Q91FK2 322R_IIV6
Q91FJ9 325L_IIV6
P84027 32C7_ANCSP
Q91FJ2 332L_IIV6
A9CB92 33K_ADES1
Q7M3V1 33VP_CHENC
Q91FI4 340R_IIV6
Q2J7H0 3418_FRACC
Q91FI1 343L_IIV6
Q91FH8 346R_IIV6
Q91FH6 348R_IIV6
P83064 34KD_BACCE
P65638 34KD_MYCBO
Q04959 34KD_MYCPA
P9WIR8 34KD_MYCTO
P9WIR9 34KD_MYCTU
A5U697 35KD_MYCTA
P9WHP4 35KD_MYCTO
P9WHP5 35KD_MYCTU
Q7NXD4 35NBP_CHRVO
P0C9P4 36010_ASFK5
Q65122 36010_ASFM2
P0C9P5 36010_ASFP4
P0C9P3 36010_ASFWA
P0C9P7 36011_ASFK5
Q65123 36011_ASFM2
P0C9P8 36011_ASFP4
P0C9P6 36011_ASFWA
P0C9Q0 36012_ASFK5
Q65125 36012_ASFM2
P0C9Q1 36012_ASFP4
P0C9P9 36012_ASFWA
P0C9Q3 36013_ASFK5
Q65126 36013_ASFM2
P0C9Q4 36013_ASFP4
P0C9Q2 36013_ASFWA
P0C9Q6 36014_ASFK5
Q65127 36014_ASFM2
P0C9Q7 36014_ASFP4
P0C9Q5 36014_ASFWA
Q65141 36015_ASFB7
P0C9Q9 36015_ASFK5
P0C9R1 36015_ASFM2
P0C9R0 36015_ASFP4
P0C9Q8 36015_ASFWA
P23163 36016_ASFB7
P0C9R3 36016_ASFK5
Q65258 36016_ASFM2
P0C9R4 36016_ASFP4
P0C9R2 36016_ASFWA
Q65211 36018_ASFB7
P0C9R7 36018_ASFP4
P0C9R5 36018_ASFWA
P23164 36019_ASFB7
P0C9R9 36019_ASFK5
P0C9S0 36019_ASFP4
P0C9R8 36019_ASFWA
P23167 3601L_ASFB7
P0C9L9 3601L_ASFK5
P0C9M0 3601L_ASFP4
P0C9L8 3601L_ASFWA
P23168 36020_ASFB7
P0C9S1 36021_ASFK5
P0C9S3 36021_ASFM2
P0C9S2 36021_ASFP4
Q65269 36022_ASFM2
P23166 3602L_ASFB7
P0C9M1 3602L_ASFK5
P0C9M2 3602L_ASFP4
P0C9M3 3602L_ASFWA
P23165 3603L_ASFB7
P0C9M5 3603L_ASFK5
P0C9M7 3603L_ASFM2
P0C9M6 3603L_ASFP4
P0C9M4 3603L_ASFWA
P0C9M9 3604L_ASFK5
P26712 3604L_ASFL5
P0C9N1 3604L_ASFM2
P0C9N0 3604L_ASFP4
P0C9M8 3604L_ASFWA
Q65133 3605L_ASFB7
P26711 3605L_ASFL5
P0C9N2 3605L_ASFP4
P0C9N3 3606L_ASFK5
P0C9N4 3606L_ASFM2
P0C9N5 3607L_ASFK5
P23162 3608L_ASFB7
P0C9N7 3608L_ASFK5
P0C9N9 3608L_ASFM2
P0C9N8 3608L_ASFP4
P0C9N6 3608L_ASFWA
Q65137 3609L_ASFB7
P0C9P1 3609L_ASFK5
Q65121 3609L_ASFM2
P0C9P2 3609L_ASFP4
P0C9P0 3609L_ASFWA
Q91FG3 361L_IIV6
Q91FF8 366R_IIV6
